molecule,num_levels,levels,slope,intercept,r_squared,upper_level,loq,accuracies
Choline,14,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0, 100.0]",4829357.9717028625,493390.7844353971,0.66012,100.0,100.0,"[433.0, 228.8, 94.4, 57.5, 37.8, 26.2, 23.1, 23.6, 28.4, 36.2, 48.1, 75.7, 108.2, 160.2]"
Choline,13,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0]",6761459.991844235,431709.643863895,0.72968,50.0,50.0,"[389.5, 210.9, 92.4, 60.3, 42.9, 32.7, 30.3, 32.0, 39.2, 50.2, 67.0, 105.9, 151.3]"
Choline,12,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0]",9365031.829485118,355077.04147344327,0.76538,25.0,25.0,"[336.2, 189.5, 90.6, 64.5, 50.0, 41.5, 40.1, 43.2, 53.7, 69.2, 92.6, 146.5]"
Choline,11,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0]",13252650.101682639,249736.45666267126,0.89351,10.0,10.0,"[264.4, 161.5, 89.3, 71.4, 61.0, 54.8, 54.7, 60.0, 75.4, 97.6, 130.8]"
Choline,10,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0]",16649124.099448591,168062.35012053538,0.93874,5.0,1.0,"[210.3, 141.3, 89.8, 78.4, 70.9, 66.6, 67.5, 74.7, 94.4, 122.4]"
Choline,9,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5]",20246150.69268858,90375.76938474468,0.96936,2.5,0.01,"[160.3, 123.7, 91.7, 86.4, 81.9, 79.3, 81.2, 90.3, 114.6]"
Choline,8,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0]",23857583.899727292,20581.779316131637,0.99425,1.0,0.005,"[117.0, 109.5, 94.9, 95.0, 93.1, 92.1, 95.0, 106.1]"
Choline,7,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5]",25516595.09919852,-6663.770463802313,0.99961,0.5,0.005,"[101.2, 105.0, 97.1, 99.4, 98.5, 98.1, 101.4]"
Choline,6,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25]",26019488.95457375,-13776.523335407663,0.99998,0.25,0.005,"[97.3, 104.1, 97.9, 100.8, 100.2, 99.9]"
Choline,5,"[0.005, 0.01, 0.025, 0.05, 0.1]",25959955.849889636,-13055.322295805956,0.99991,0.1,0.005,"[97.7, 104.1, 97.8, 100.6, 100.0]"
Lac,14,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0, 100.0]",3646.298655368979,15521.54924643258,0.91871,100.0,5.0,"[181.9, 69.2, 47.6, 99.2, 100.2, 127.2, 59.6, 105.1, 61.8, 84.4, 81.2, 82.9, 100.3, 126.4]"
Lac,13,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0]",4491.238075643647,15494.575087401085,0.92916,50.0,5.0,"[181.6, 69.1, 47.6, 99.3, 100.5, 128.6, 61.0, 109.6, 67.0, 94.9, 94.4, 99.3, 121.7]"
