molecule,num_levels,levels,slope,intercept,r_squared,upper_level,loq,accuracies
Choline,8,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0]",23857583.899727292,20581.779316131637,0.99425,1.0,0.005,"[117.0, 109.5, 94.9, 95.0, 93.1, 92.1, 95.0, 106.1]"
Choline,7,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5]",25516595.09919852,-6663.770463802313,0.99961,0.5,0.005,"[101.2, 105.0, 97.1, 99.4, 98.5, 98.1, 101.4]"
Choline,6,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25]",26019488.95457375,-13776.523335407663,0.99998,0.25,0.005,"[97.3, 104.1, 97.9, 100.8, 100.2, 99.9]"
Choline,5,"[0.005, 0.01, 0.025, 0.05, 0.1]",25959955.849889636,-13055.322295805956,0.99991,0.1,0.005,"[97.7, 104.1, 97.8, 100.6, 100.0]"
Glu_neg,8,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0]",253987.2741166952,1800.4610267014275,0.99098,1.0,0.025,"[85.3, 222.0, 85.4, 96.1, 88.6, 86.9, 96.9, 107.4]"
Glu_neg,7,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5]",275297.4182104847,1450.4895545920383,0.99492,0.5,0.025,"[78.5, 215.0, 87.3, 100.9, 94.4, 93.5, 104.7]"
Glu_neg,6,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25]",292755.9738643436,1203.5619166148092,0.99795,0.25,0.025,"[74.1, 211.3, 89.3, 105.0, 99.3, 99.0]"
Glu_pos,8,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0]",115802.66340016181,-1462.5837453924278,0.99953,10.0,0.05,"[80.2, 99.2, 105.2, 109.7, 108.2, 98.3, 101.7, 98.4]"
Glu_pos,7,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0]",113577.44580212852,-1097.1415057154345,0.99935,5.0,0.05,"[84.9, 100.6, 104.4, 108.2, 106.4, 96.5, 99.8]"
Glu_pos,6,"[0.05, 0.1, 0.25, 0.5, 1.0, 2.5]",113214.51306782826,-1045.809583074055,0.99697,2.5,0.05,"[85.6, 100.8, 104.3, 108.0, 106.1, 96.2]"
Glu_pos,5,"[0.05, 0.1, 0.25, 0.5, 1.0]",104695.12141280349,-13.746136865337803,0.99972,1.0,0.05,"[96.8, 102.5, 100.1, 101.7, 99.1]"
