molecule,num_levels,levels,slope,intercept,r_squared,upper_level,loq,accuracies
Lac,14,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0, 100.0]",3646.298655368979,15521.54924643258,0.91871,100.0,5.0,"[181.9, 69.2, 47.6, 99.2, 100.2, 127.2, 59.6, 105.1, 61.8, 84.4, 81.2, 82.9, 100.3, 126.4]"
Lac,13,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0, 50.0]",4491.238075643647,15494.575087401085,0.92916,50.0,5.0,"[181.6, 69.1, 47.6, 99.3, 100.5, 128.6, 61.0, 109.6, 67.0, 94.9, 94.4, 99.3, 121.7]"
Lac,12,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0, 25.0]",5461.9477318120735,15466.003566522615,0.89717,25.0,1.0,"[181.3, 69.1, 47.5, 99.4, 101.0, 130.3, 62.6, 114.8, 73.0, 106.9, 109.5, 118.1]"
Lac,11,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0, 10.0]",6681.818747050465,15432.949414303537,0.61828,10.0,1.0,"[181.0, 69.0, 47.5, 99.6, 101.5, 132.4, 64.5, 121.3, 80.6, 122.1, 128.5]"
Lac,10,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5, 5.0]",8665.086545300046,15385.258301236769,0.21613,5.0,5.0,"[180.6, 68.8, 47.5, 99.9, 102.5, 135.8, 67.8, 131.9, 92.9, 146.8]"
Lac,9,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0, 2.5]",13070.72760520137,15290.107714767317,0.23213,2.5,2.5,"[179.7, 68.6, 47.6, 100.7, 104.7, 143.6, 75.0, 155.5, 120.3]"
Lac,8,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5, 1.0]",17601.341065060402,15202.54979172285,-0.43646,1.0,1.0,"[179.0, 68.4, 47.7, 101.6, 107.0, 151.7, 82.5, 179.9]"
Lac,7,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25, 0.5]",35258.520562343976,14912.570095913801,-0.11228,0.5,0.5,"[176.6, 67.9, 48.1, 105.3, 116.3, 183.6, 111.9]"
Lac,6,"[0.005, 0.01, 0.025, 0.05, 0.1, 0.25]",44975.38892345989,14775.13814561295,-0.55237,0.25,0.25,"[175.6, 67.7, 48.5, 107.5, 121.5, 201.4]"
Lac,5,"[0.005, 0.01, 0.025, 0.05, 0.1]",146173.95143487857,13549.189845474615,-0.53302,0.1,0.1,"[167.1, 66.8, 52.4, 131.8, 177.6]"
